	24	25	26	27	28	32	33	34	36	37	38	40	41	42	43	44	45	46	47	48	75	76	77	78	79	80	81	82	83	84	85	10LD	12LD	13LD	14LD	15LD	16LD	17LD	18LD	19LD	1LD	20LD	21LD	22LD	23LD	2LD	3LD	4LD	6LD	7LD	8LD	9LD
85	0.647431791	0.619389061	0.655396293	0.642632536	0.64461388	0.566846308	0.597946569	0.62158868	0.631488073	0.658345336	0.607450083	0.64882934	0.674792176	0.67108401	0.705068868	0.685691557	0.689651429	0.667362881	0.701546437	0.709996215	0.555112039	0.633585992	0.590966108	0.655836481	0.626547241	0.696939503	0.760036483	0.603934534	0.658371002	0.63728626	0	0.773115654	0.71129917	0.626695216	0.657455312	0.658842662	0.712381403	0.673135109	0.67323251	0.620356283	0.70746806	0.659550126	0.625264649	0.6655602	0.65389409	0.676674707	0.659887753	0.593897087	0.659629892	0.673601489	0.686283126	0.630897828
10LD	0.719947467	0.723524489	0.720436073	0.696208023	0.691392017	0.749042686	0.7718578	0.780536198	0.777951539	0.729620108	0.748273601	0.767615295	0.736106434	0.743621924	0.764618001	0.71392956	0.741271089	0.719010002	0.762438917	0.720232759	0.791172996	0.775093428	0.762880964	0.783447212	0.760470078	0.762163089	0.805759432	0.805469206	0.79498771	0.785045589	0.773115654	0	0.752847122	0.78188393	0.740483458	0.741122106	0.663899257	0.728037817	0.776599789	0.744928017	0.785696333	0.745043747	0.760204372	0.688274917	0.718662125	0.749199455	0.77252649	0.769521355	0.773362603	0.770394598	0.721334265	0.692743613
12LD	0.639913855	0.646528242	0.648037499	0.616123677	0.61311875	0.703177413	0.698097907	0.749829975	0.736194937	0.706701977	0.746823381	0.690053632	0.680899783	0.717821424	0.524738589	0.621035656	0.66151681	0.601685474	0.613332789	0.612562767	0.700561974	0.691535632	0.708744507	0.757407043	0.70101488	0.773805088	0.79993858	0.729925975	0.684839017	0.696325564	0.71129917	0.752847122	0	0.619370302	0.493898868	0.558263334	0.703856768	0.744576741	0.571625463	0.678146081	0.739056343	0.70443756	0.635208882	0.698623152	0.603259265	0.70334688	0.711690041	0.648968852	0.694457983	0.612625962	0.703589745	0.705750219
13LD	0.618809903	0.639359733	0.644809118	0.610390763	0.644557848	0.65570047	0.644729318	0.681016654	0.692952826	0.65776101	0.701507583	0.674559916	0.64376104	0.698030184	0.623727559	0.648793187	0.657988535	0.631517126	0.646744209	0.66969952	0.643366857	0.658042303	0.651843221	0.677860786	0.67223995	0.729222	0.778934119	0.65827232	0.666942785	0.68435481	0.626695216	0.78188393	0.619370302	0	0.597030572	0.605148769	0.721978812	0.700229238	0.619059723	0.608242753	0.722774691	0.664011737	0.605142052	0.679357026	0.633904116	0.689404073	0.625647505	0.621031092	0.657019885	0.637865437	0.672486519	0.588441692
14LD	0.600775634	0.623563578	0.640298538	0.580771777	0.623928484	0.664589432	0.658748021	0.688080083	0.697973833	0.682892064	0.683955643	0.649821268	0.665312167	0.692761325	0.574447364	0.589428018	0.665697	0.575217996	0.598588325	0.608515717	0.624844643	0.63260875	0.661268681	0.687698823	0.654503412	0.738774836	0.765628118	0.693806668	0.65934493	0.650587576	0.657455312	0.740483458	0.493898868	0.597030572	0	0.51494262	0.691766227	0.719239862	0.557796214	0.661771496	0.722202467	0.667645333	0.634100149	0.685691002	0.586372108	0.683734291	0.672214065	0.641067989	0.674782865	0.602320818	0.675631955	0.656618857
15LD	0.67406112	0.64194055	0.669831456	0.640105014	0.649056293	0.663441605	0.64470369	0.673227183	0.689197649	0.697970693	0.684871575	0.669037922	0.665442394	0.694046386	0.632276327	0.650919773	0.665508156	0.630284461	0.65274678	0.637815334	0.656351216	0.631688696	0.652151297	0.695273579	0.654716273	0.72914042	0.770544864	0.67478458	0.660223846	0.670373096	0.658842662	0.741122106	0.558263334	0.605148769	0.51494262	0	0.691788343	0.712089353	0.585627782	0.699801429	0.726945655	0.711664312	0.665901842	0.688746367	0.611704286	0.694178587	0.688540897	0.633010972	0.692150259	0.649439899	0.677030344	0.647746269
16LD	0.709239005	0.723973587	0.675678466	0.712869657	0.661413257	0.71543051	0.705067213	0.697555292	0.670592467	0.667666985	0.713219285	0.689590258	0.701856898	0.689222531	0.721865763	0.719429258	0.712321389	0.656294285	0.730633332	0.646884236	0.704382138	0.684095228	0.699304571	0.724447276	0.687190858	0.675832232	0.759106967	0.731423434	0.712274728	0.717426406	0.712381403	0.663899257	0.703856768	0.721978812	0.691766227	0.691788343	0	0.648759434	0.72399029	0.690282115	0.751341397	0.675254953	0.681553394	0.723551272	0.657803411	0.704342749	0.701691662	0.671225542	0.738407445	0.735334435	0.653230704	0.687637411
17LD	0.620739665	0.675168329	0.639696192	0.636474862	0.59523903	0.688219435	0.675128361	0.632828219	0.61452122	0.706012766	0.631127366	0.649818368	0.593546493	0.633514244	0.70285757	0.638324375	0.678190309	0.655520189	0.66301836	0.684876419	0.697513149	0.64187038	0.692694356	0.639761772	0.678566069	0.746388146	0.795064697	0.707331283	0.685692779	0.666978064	0.673135109	0.728037817	0.744576741	0.700229238	0.719239862	0.712089353	0.648759434	0	0.692394138	0.604117863	0.692123333	0.628923035	0.580166755	0.626790346	0.65945039	0.682037498	0.615600742	0.661851795	0.714224772	0.711831679	0.594760215	0.621339845
18LD	0.632332822	0.636588631	0.661497837	0.622705145	0.633816113	0.662484047	0.667728732	0.685789048	0.694657285	0.698235406	0.684348481	0.649161776	0.628016506	0.649170822	0.577153588	0.607394105	0.61967985	0.608356067	0.621562083	0.641535904	0.667341091	0.626714428	0.676755212	0.675119197	0.659542076	0.737725789	0.76896503	0.696511425	0.645723533	0.655333191	0.67323251	0.776599789	0.571625463	0.619059723	0.557796214	0.585627782	0.72399029	0.692394138	0	0.647617367	0.710937512	0.673202897	0.604789558	0.67258751	0.629375082	0.674087432	0.665221698	0.632851594	0.680360424	0.632543919	0.676241421	0.662413335
19LD	0.546558414	0.64808934	0.571774452	0.57848384	0.591365627	0.603090007	0.641722131	0.619261137	0.57761496	0.688948155	0.621413912	0.63012071	0.550960076	0.636222509	0.59821166	0.609159875	0.612465354	0.609121151	0.593502508	0.602359518	0.596789257	0.625543474	0.657392592	0.653741716	0.665815012	0.707166886	0.786882324	0.688409556	0.645299818	0.653573038	0.620356283	0.744928017	0.678146081	0.608242753	0.661771496	0.699801429	0.690282115	0.604117863	0.647617367	0	0.667588274	0.614075695	0.531667962	0.642566738	0.580598728	0.634406453	0.607174503	0.601012896	0.638270158	0.624700819	0.599397382	0.61601369
